,UserID,UserCreatedAt,UserDescriptionLength,UserFollowersCount,UserFriendsCount,UserLocation,AvgHashtag,AvgURLCount,AvgMention,AvgRetweet,AvgFavCount,TweetCount,SpammerOrNot,Current_Time,friends_to_followers_ratio
0,613357772,88,145,62144,297.0,45,0.4666666666666667,0.26666666666666666,1.1666666666666667,9.7,11.7,21157,0,0,0.004779222451081359
1,284920800,57,75,109825,161.0,86,0.6,0.9333333333333332,0.3333333333333333,5.366666666666666,6.366666666666666,78784,0,0,0.0014659685863874345
2,1943418931,153,102,237690,156.0,44,2.3,1.0,0.0,1.7,10.966666666666667,85765,0,0,0.0006563170516218604
3,740815249524285440,276,0,7449,323.0,45,0.0,1.0,0.9,0.0,0.13333333333333333,38658,0,0,0.04336152503691771
4,777850687338057729,289,0,1271,1022.0,2,1.8333333333333333,1.9,1.4,0.4,0.7666666666666667,2482,0,0,0.8040912667191188
5,1591105346,142,0,989,118.0,183,0.0,0.4666666666666667,0.0,0.0,0.2333333333333333,2100,0,0,0.11931243680485339
6,828982958115737600,329,0,108,0.0,2,0.0,1.0,0.0,0.0,0.03333333333333333,862,0,0,0.0
7,4087953322,224,23,6727,120.0,45,0.7333333333333333,0.9,0.5333333333333333,8.566666666666666,12.366666666666667,2173,0,0,0.017838561022744167
8,1073676020,106,62,1105348,118.0,2,1.0,0.4666666666666667,1.3666666666666667,10.4,0.0,210880,0,0,0.00010675371014377373
9,57279305,20,159,2686,49.0,44,0.16666666666666666,0.6333333333333333,0.2,8.1,1.6666666666666667,548,0,0,0.018242740134028296
10,28995530,8,23,535237,13.0,175,1.4666666666666666,0.9666666666666668,0.03333333333333333,8.3,28.9,116135,0,0,2.4288305928028145e-05
11,922665429578870785,361,126,2257,627.0,45,0.7666666666666667,1.0333333333333334,1.4666666666666666,5.5,34.5,6712,0,0,0.2778023925564909
12,4889819537,248,151,520,87.0,45,1.1,0.5666666666666667,2.566666666666667,1.9,0.0,1725,0,0,0.1673076923076923
13,19519947,4,91,63043,187.0,86,1.0666666666666669,0.9,0.2,0.7,1.7666666666666666,297998,0,0,0.0029662293989816475
14,245687754,53,35,1931329,1.0,134,0.1,0.3,0.13333333333333333,100.03333333333332,297.3,56116,0,0,5.17778172439807e-07
15,442782547,80,91,131942,343.0,86,0.3,0.8333333333333334,0.43333333333333335,254.23333333333332,17.133333333333333,16040,0,0,0.002599627108881175
16,442782547,80,91,131943,343.0,86,0.3,0.8333333333333334,0.43333333333333335,254.23333333333332,17.133333333333333,16040,0,0,0.002599607406228447
17,241069726,52,61,1731,23.0,44,0.0,1.6666666666666667,0.0,0.1,0.2333333333333333,780,0,0,0.013287117273252455
18,1704625526,147,15,366005,8.0,46,1.8333333333333333,1.1,0.06666666666666668,1.4666666666666666,12.066666666666665,120148,0,0,2.1857624895834755e-05
19,128609455,36,136,170508,450.0,45,1.4666666666666666,1.1666666666666667,0.3,1.8,8.5,191728,0,0,0.0026391723555492996
20,134758540,37,153,11751572,509.0,130,0.6,1.3666666666666667,0.4666666666666667,5.3,24.8,463028,0,0,4.331335416231973e-05
21,171825995,44,87,624,451.0,45,0.06666666666666668,0.8666666666666667,0.1,0.03333333333333333,0.6333333333333333,515,0,0,0.7227564102564102
22,898614765299183616,355,23,1101,1238.0,86,0.26666666666666666,0.3333333333333333,1.3333333333333333,51.43333333333333,0.2,3696,0,0,1.1244323342415985
23,88643957,27,119,32,2.0,130,0.13333333333333333,0.6,0.6333333333333333,86.46666666666668,0.0,27,0,0,0.0625
24,1054776204178292736,451,85,227,15.0,45,2.033333333333333,0.4,0.7,26.7,1.5666666666666669,1051,0,0,0.06607929515418502
25,1009295068484681728,424,31,456,60.0,54,0.2,0.6,0.8,160.63333333333333,2.933333333333333,147,0,0,0.13157894736842105
26,1008616796927094784,415,0,112,12.0,2,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,1,0,0,0.10714285714285714
27,1009304634161156097,425,0,148,25.0,160,0.06666666666666668,0.06666666666666668,0.1,0.06666666666666668,0.0,2,0,0,0.16891891891891891
28,1008862252303126530,420,10,387,54.0,180,0.2,0.7,0.7333333333333333,12.633333333333333,3.2666666666666666,48,0,0,0.13953488372093023
29,1008683713712930816,419,46,91,11.0,18,0.0,0.2333333333333333,0.06666666666666668,0.0,0.1,7,0,0,0.12087912087912088
30,1006097125938089984,409,8,591,204.0,174,0.0,1.0,0.0,0.43333333333333335,2.6,254,0,0,0.34517766497461927
31,1008642243819761664,417,0,217,29.0,45,0.1,0.06666666666666668,0.03333333333333333,0.06666666666666668,0.13333333333333333,3,0,0,0.1336405529953917
32,1007158886938206208,410,8,302,145.0,182,0.9,0.6333333333333333,1.2666666666666666,0.5333333333333333,7.633333333333334,28,0,0,0.48013245033112584
33,1009255522602631168,423,0,176,55.0,2,0.0,0.2,0.3,0.1,1.2333333333333334,6,0,0,0.3125
34,1008882456575934464,421,104,140,142.0,145,0.03333333333333333,0.2333333333333333,0.1,1.1333333333333333,0.1,10,0,0,1.0142857142857142
35,1008655587528171521,418,0,125,11.0,50,0.03333333333333333,0.03333333333333333,0.0,0.0,0.03333333333333333,1,0,0,0.088
36,1009050067985002496,422,9,411,142.0,174,0.3,0.26666666666666666,0.3333333333333333,0.7666666666666667,2.333333333333333,12,0,0,0.34549878345498786
37,1008635639741362176,416,0,245,44.0,181,0.03333333333333333,0.1,1.1333333333333333,0.13333333333333333,0.3666666666666665,12,0,0,0.17959183673469387
